x	intensity
1.397613280999999915e+03	6.073355686172456558e+01
1.395960937999999942e+03	6.783466374251531761e+01
1.394306640999999900e+03	5.847682967870910176e+01
1.392652344000000085e+03	6.091963690860177394e+01
1.390998047000000042e+03	6.392617678788767677e+01
1.389343750000000000e+03	7.114337706014499929e+01
1.387689452999999958e+03	5.537721244882075666e+01
1.386033202999999958e+03	6.227831277735828053e+01
1.384378905999999915e+03	5.010399286839622590e+01
1.382722655999999915e+03	5.227328622299528149e+01
1.381066405999999915e+03	7.166074077393868436e+01
1.379410155999999915e+03	7.545755598879716786e+01
1.377751952999999958e+03	6.713373481867448334e+01
1.376095702999999958e+03	6.240916601247702289e+01
1.374437500000000000e+03	6.727083116007955255e+01
1.372779297000000042e+03	6.115500297497938220e+01
1.371121094000000085e+03	6.081530623974118299e+01
1.369462890999999900e+03	3.975174867769408138e+01
1.367802734000000100e+03	6.000524012622529568e+01
1.366144530999999915e+03	5.908441653098051205e+01
1.364484375000000000e+03	2.418468823829431003e+01
1.362824219000000085e+03	6.617287856193016182e+01
1.361162109000000100e+03	8.197559856812529233e+01
1.359501952999999958e+03	7.659022659392621790e+01
1.357839844000000085e+03	6.212014198593363545e+01
1.356179687999999942e+03	5.183467048360547125e+01
1.354517577999999958e+03	6.473304640539218724e+01
1.352853515999999900e+03	5.951262322987103204e+01
1.351191405999999915e+03	6.215607180407916843e+01
1.349529297000000042e+03	5.502071647592203618e+01
1.347865234000000100e+03	6.326752739455014307e+01
1.346201172000000042e+03	5.724350470670253799e+01
1.344537109000000100e+03	6.183510420884327630e+01
1.342873047000000042e+03	6.064661935370901347e+01
1.341207030999999915e+03	5.838697324960691049e+01
1.339542969000000085e+03	6.083991740528838932e+01
1.337876952999999958e+03	7.202943550922088889e+01
1.336210937999999942e+03	5.982574427886746093e+01
1.334544922000000042e+03	4.977430425904607603e+01
1.332876952999999958e+03	5.271282209706695454e+01
1.331210937999999942e+03	5.437080960558170517e+01
1.329542969000000085e+03	4.996113783928887386e+01
1.327875000000000000e+03	5.749921331569599658e+01
1.326207030999999915e+03	5.385088460382208098e+01
1.324539062999999942e+03	6.524321369694212081e+01
1.322869140999999900e+03	5.898883314514819176e+01
1.321199219000000085e+03	5.852713763003588099e+01
1.319531250000000000e+03	6.309420407663477448e+01
1.317859375000000000e+03	6.560718274591415877e+01
1.316189452999999958e+03	5.697713888897756362e+01
1.314519530999999915e+03	5.519519766035202224e+01
1.312847655999999915e+03	5.121515487535046418e+01
1.311175780999999915e+03	5.030153600015182036e+01
1.309503905999999915e+03	6.107845290207793454e+01
